0,1,2,3,4,5
Key,Field,Field Name,Length,Position,Description
Y,1,RAILCARD_CODE,3,1-3,3-character railcard code.
Y,2,END_DATE,8,4-11,Last date for which this record can be used.
,3,START_DATE,8,12-19,First date for which this record can be used.
,4,QUOTE_DATE,8,20-27,First date on which this record can be quoted.
,5,HOLDER_TYPE,1,28-28,"‘A’ for Adult, ‘C’ for Child."
,6,DESCRIPTION,20,29-48,Railcard description.
,7,RESTRICTED_BY_ISSUE,1,49-49,Value ‘Y’ or ‘N’.  Indicates whether the railcard is
,8,RESTRICTED_BY_AREA,1,50-50,Value ‘Y’ or ‘N’.  Indicates whether the railcard is
,9,RESTRICTED_BY_TRAIN,1,51-51,Value ‘Y’ or ‘N’.  Indicates whether the railcard is
,10,RESTRICTED_BY_DATE,1,52-52,Value ‘Y’ or ‘N’.  Indicates whether the railcard is
,11,MASTER_CODE,3,53-55,"The master railcard code, used when discounting"
,12,DISPLAY_FLAG,1,56-56,Indicates whether the railcard must be displayed
,13,MAX_PASSENGERS,3,57-59,0-999 – the maximum number of passengers
,14,MIN_PASSENGERS,3,60-62,0-999 – the minimum number of passengers
,15,MAX_HOLDERS,3,63-65,0-999 – the maximum number of railcard holders
,16,MIN_HOLDERS,3,66-68,0-999 – the minimum number of railcard holders
,17,MAX_ACC_ADULTS,3,69-71,0-999 – the maximum number of accompanied
,18,MIN_ACC_ADULTS,3,72-74,0-999 – the maximum number of accompanied
,19,MAX_ADULTS,3,75-77,0-999 – the maximum number of adults whose
,20,MIN_ADULTS,3,78-80,0-999 – the maximum number of adults whose
