0,1,2,3,4,5
Key,Field,Field Name,Length,Position,Description
,23,RESERVATION_REQUIRED,1,99-99,Indicates whether reservation is required when
,24,CAPRI_CODE,3,100-102,CAPRI code.
,25,LUL_93,1,103-103,Used for ticket issue.  This field is used when
,26,UTS_CODE,2,104-105,Used in LUL magnetic stripe encoding to
,27,TIME_RESTRICTION,1,106-106,Contains a numeric value recognised by the
,28,FREE_PASS_LUL,1,107-107,Used for package fares only.  Indicates whether
,29,PACKAGE_MKR,1,108-108,Indicates whether this ticket is a package.
,30,FARE_MULTIPLIER,3,109-111,Multiplication factor used when calculating
,31,DISCOUNT_CATEGORY,2,112-113,Discount category.  Used when a ticket is
